"number","account","priority","sys_created_on","state","short_description","description","sys_updated_on","sys_updated_by","assignment_group","assigned_to","product","resolved_at","sys_mod_count","u_problem","close_notes"
"CS1631037","University Hospital Southampton NHS Foundation Trust","3 - Medium","11/08/2025 09:58:24","Closed","Stuck Messages in DAD Outbound Queue","Hi, Please see the attached document showing messages that are stuck in our DAD outbound queue.
Re-queuing them has not helped as they default back to Suspended status shortly after.  Please assist us with clearing these messages.
Many thanks","18/08/2025 11:11:35","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","11/08/2025 14:11:06","13","","Hello Susan,
 
I'm pleased to let you know that we've found a resolution for your case CS1631037.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1631264","Hospice Peterborough And Stamford Hospitals NHS Foundation Trust","2 - High","11/08/2025 12:03:41","Closed","SCR / CPIS","issue is with SCR / CPIS connections through Symphony completion of booking a patient in) and not a CareFlow issue.
 there are no national outages on NHS Spine
Can you please restart  EMIS to restart IIS/Jboss/DAD
example incident and description - CS1532442. 
reception staff are attending/popup doesn't complete : Really slow booking in. When getting demographics it is very slow and taking a long time to finalise. It is performing the spine search as no tick coming once patient is booked in.","15/08/2025 14:05:56","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Optum Help Centre","11/08/2025 18:15:47","10","","Hello Nazia,
 
I'm pleased to let you know that we've found a resolution for your case CS1631264.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1631603","North West Anglia NHS Foundation Trust","3 - Medium","11/08/2025 18:12:06","Closed","Attendance SCR/CPIS check isnt working","This case was logged by Nazia hakim.

issue is with SCR / CPIS connections through Symphony completion of booking a patient in) and not a CareFlow issue.
 there are no national outages on NHS Spine
Can you please restart  EMIS to restart IIS/Jboss/DAD
example incident and description - CS1532442. 
reception staff are attending/popup doesn't complete : Really slow booking in. When getting demographics it is very slow and taking a long time to finalise. It is performing the spine search as no tick coming once patient is booked in.","25/08/2025 18:17:26","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","11/08/2025 18:17:23","8","","Hello Michael,
 
I'm pleased to let you know that we've found a resolution for your case CS1631603.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1633263","Wye Valley NHS Trust","2 - High","14/08/2025 08:21:36","Closed","DAD","Can you please restart the DAD service for Hereford Hospital/WVT.","28/08/2025 08:39:27","system","Acute Care Symphony Support Level 1","Gareth Evans","Symphony","14/08/2025 08:38:14","9","","Hello Richard,
 
I'm pleased to let you know that we've found a resolution for your case CS1633263.
 
To resolve this, I've started DAD as requested and watched the queue clear down. It looks like the DAD server was restarted about 4:30 this morning.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
"CS1633351","University Hospital Southampton NHS Foundation Trust","3 - Medium","14/08/2025 09:37:40","Closed","Symphony - edocs items stuck in the outbound DAD queue","Good Morning 

There are 9 messages stuck in the outbound DAD queue EYE - eDocs v2.0 - Attendance ID with suspended status since 12/08/25 .

Please can you look into this?

Best,

Kind Regards
Ashley | EPR","28/08/2025 14:29:27","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","14/08/2025 14:28:27","12","","Hello Ashley,
 
I'm pleased to let you know that we've found a resolution for your case CS1633351.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1634082","North West Anglia NHS Foundation Trust","3 - Medium","15/08/2025 09:28:36","Closed","DAD lock - near constant - can you see what/why?","Morning,
Yesterday when creating attendances the reception team are seeing a lot of ""DAD lock"" messages - to the point it takes a couple of minutes and prevents them booking in at normal speed.

Normally i would just ask IT to restart/failover. Its taken a while for the severity to reach me to do anything...
Is there anything you can do to see why this is happening to try prevent it being common/happening less/etc?

Obviously it needs a kick right now. I've logged here to see if theres anything you can see (that you wouldnt if IT did their reboot)

Its common that we do it - its not like its happening every month/week = it will be fine for 2m then need 2 restarts in 2w, very random but happening more since upg last year than before
thanks","26/09/2025 16:05:28","system","Acute Care Symphony Support Level 1","Shazad Ishaque","Symphony","12/09/2025 16:04:13","37","","Hello Lee,
 
I'm pleased to let you know that we've found a resolution for your case CS1634082.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Shazad"
"CS1634817","University Hospital Southampton NHS Foundation Trust","3 - Medium","18/08/2025 09:27:40","Closed","Stuck Messages in DAB Outbound Queue","Hi, Please see attached screenshot showing messages that are stuck in our DAD outbound queue.  Re-queueing them has not helped as they default back to suspended shortly after.  Please assist us with clearing these messages.

Many thanks.","26/08/2025 09:59:13","Susan.Bradshaw@uhs.nhs.uk","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","18/08/2025 11:29:41","7","","Hello Susan,
 
I'm pleased to let you know that we've found a resolution for your case CS1634817.
 
To resolve this:

The 2 Suspended Messages in your screenshot are both for Attendance ED-25-084656-1.
These will not currently process due to there being missing data in the messages for a Mandatory Field.
For both, this is the Patient Hospital Number (PMI Number) which has not been created for the associated Patient whose NHS Number is 7233692777

Once the Hospital Number has been added to the Patient, if you then reset the 2 messages to Queued they should then process normally.

Many thanks

 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
"CS1634971","Northern Care Alliance NHS Foundation Trust","3 - Medium","18/08/2025 11:01:28","Closed","RE: Stuck message in Symphony DAD queue","STOP! Unless you are EXPECTING THIS EMAIL do NOT click on any links, or open any attachments. This may be a phishing email that could compromise our security.


Dear Support

Please could you investigate a stuck message in the Symphony DAD queue.

Its Status is 'Currently Processing' but is not clearing and I am unable to delete it.

UID
Attendance<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=atd_num&sortdir=ASC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhRTs0GN5$>
Department<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=dpt_name&sortdir=ASC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhXkvbUWE$>
DAD Service<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=ser_name&sortdir=ASC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhZilIL54$>
Message Definition<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=mdf_name&sortdir=ASC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhSHBGJbg$>
Status<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=vc_status&sortdir=ASC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhchIKW0w$>
Reason<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=fam_reason&sortdir=ASC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhehzItl9$>
Created<https://urldefense.com/v3/__http://n-sym-lcw-app01/SymphonyChecks/DADFailedMessages.cshtml?sort=fam_created&sortdir=DESC__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhRc5lWTx$>
02166722
AEF-25-051158-1
Fairfield
FF - A04 A+E Attendance
FF ADT^A04
Currently Processing
Service has been configured to queue messages immediately
13/08/2025 08:44:06


Many thanks

------------------------------------------------------------------------------
Jonathan Stanger-Moore
Senior Integration Specialist
Informatics & Digital
Northern Care Alliance NHS Foundation Trust
Email: jonathan.stanger-moore@nca.nhs.uk<mailto:jonathan.stanger-moore@nca.nhs.uk>
Web: www.northerncarealliance.nhs.uk<https://urldefense.com/v3/__http://www.northerncarealliance.nhs.uk/__;!!IJLR5QJm7ttc!hEZu29hEYVzGsjOnDxxgFJ0igJzhbrjP8th014JaQoscjA0KlxrUWrtOhuModVdjYHDT7zAnAO3KTD8Ai7AHhc7E-vZv$>","04/09/2025 12:32:34","jonathan.stanger-moore@nca.nhs.uk","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","02/09/2025 02:29:28","9","","Hi,

I'm getting in touch regarding your case CS1634971 which you raised on 18/08/2025 11:01:28 regarding Symphony.

We have tried to contact you but unfortunately, we have been unable to speak with you. I'd really like to help you resolve this issue but I am unable to investigate your case without receiving further information.

If this issue is still occurring, please use the red 'Reject Solution' button so we are able to further investigate this issue for you.

I look forward to hearing from you.

Kind regards,
Optum"
"CS1636643","Northern Care Alliance NHS Foundation Trust","3 - Medium","20/08/2025 13:27:14","Closed","DAD event monitor ","Support have received the following message by email:

The last INBOUND DAD Service event was logged at 2025-08-20 11:46:43.857 (3498 sec(s) ago)
The last OUTBOUND DAD Service event was logged at 2025-08-20 11:46:38.027 (3503 sec(s) ago)
Please check that Ascribe SymphonyDAD Windows Service is still running on Failover Cluster SYM-LIVE-DADSRV (10.137.248.81).
Nodes for the Failover Cluster are SYM-LIVE-DAD02 (10.137.248.76) and SYM-LIVE-DAD03 (10.137.248.77)
","03/09/2025 13:29:28","system","Acute Care Symphony Support Level 1","Gareth Evans","Symphony","20/08/2025 13:28:27","6","","Hello Account,
 
I'm pleased to let you know that we've found a resolution for your case CS1636643.
 
To resolve this, I have restarted DAD and can see messages coming through.
 
We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Gareth"
"CS1637673","University Hospital Southampton NHS Foundation Trust","3 - Medium","22/08/2025 09:19:19","Closed","DAD Outbound Queue - SGH ED TimeLine and A04","Hello,
Optum Support Team,

Could you please fix the cause that is not allowing the message in the SGH ED TimeLine and A04 Queues to be sent? The message is the one related to the entry ED-25-084656-1.

Please let me know if you need any more information.

Kind regards,

Miguel | EPR Team","22/08/2025 10:25:55","miguel.batista@uhs.nhs.uk","Acute Care Symphony Support Level 1","Konrad Siddons","Symphony","22/08/2025 10:19:55","7","","Hello Miguel,
 
I'm pleased to let you know that we've found a resolution for your case CS1637673.
 
To resolve this:

This issue was previously raised by Susan Bradshaw via case CS1634817.

That case was resolved with the following advice which as yet seems not to have been followed.
If this is done you should be able to clear the 'stuck' messages:

""The 2 suspended Messages in your screenshot are both for Attendance ED-25-084656-1.
These will not currently process due to there being missing data in the messages for a Mandatory Field.
For both, this is the Patient Hospital Number (PMI Number) which has not been created for the associated Patient whose NHS Number is 7233692777.

Once the Hospital Number has been added to the Patient, if you then reset the 2 messages to Queued they should then process normally"".

Many thanks

We're confident this will fully address the issue. However, if you find that the problem persists, simply click the red 'Reject Solution' button and we'll be happy to investigate further.
 
Kind regards,
Konrad"
