number,account,priority,sys_created_on,state,short_description,description,sys_updated_on,assignment_group,assigned_to,product,resolved_at,sys_mod_count,u_problem,SLA_task,SLA_Business_Time_seconds,SLA_Duration_seconds,SLA_Business_Time,SLA_Duration,trend,trend_auto
CS1712298,Northern Lincolnshire And Goole NHS Foundation Trust,3 - Medium,06/01/2026 09:52:43,Closed,Slow Indexing,Symphony is experiencing significant delays when indexing patient records during scanning. Could you please review the indexing on the MIDAS table to improve performance?,08/01/2026 13:44:06,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,08/01/2026 13:42:42,40,,CS1712298,34048.0,34048.0,"9 hrs, 27 mins","9 hrs, 27 mins",Performance & Availability / Performance,
CS1715109,Norfolk and Norwich University Hospitals NHS Foundation Trust,3 - Medium,09/01/2026 15:42:15,Closed,Patient Merge Issue,"Andy Abramowicz reporting one patient record in Symphony is showing to have multiple records.

They would like to merge all these records into one patient.

Patient example:  0495458
Attendance No: AE-26-003407-1

andy.Abramowicz@nnuh.nhs.uk",23/01/2026 16:55:27,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,09/01/2026 16:54:11,14,,CS1715109,4316.0,4316.0,"1 hrs, 11 mins","1 hrs, 11 mins",Reporting & Analytics / Reporting,
CS1716445,Norfolk and Norwich University Hospitals NHS Foundation Trust,3 - Medium,13/01/2026 12:48:03,Closed,Patient Merge Issue,"Andy Abramowicz calling back in reference CS1715109. 

He advise they do not have access to SAPM so are unable to merge the multiple patient records.

Patient example:  0495458
Attendance No: AE-26-003407-1

andy.Abramowicz@nnuh.nhs.uk",27/01/2026 13:01:26,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,13/01/2026 12:59:50,9,,CS1716445,707.0,707.0,11 mins,11 mins,Other,Audit / IG / access investigation
CS1717065,Leeds Teaching Hospitals NHS Trust,3 - Medium,14/01/2026 10:43:44,Closed,Can't get into a past clinic appointment,"Julie is trying to access a past clinic appointment from 29 December. LGI-Ped ACP clinic (there are two) Clicked on the new one, the other one is overbooked. The patient is 733 293 2741 (first name A).

When she goes into the clinic, it brings up today's date, she's clicking on the left arrow to go back, hears a ping, the system crashes without moving from the January screen. It's then unresponsive.",01/04/2026 00:41:26,Acute Care Symphony Support Level 1,Gareth Evans,Symphony,18/03/2026 00:39:28,41,,CS1717065,1402790.0,2785190.0,"16 days, 5 hrs, 39 mins","32 days, 5 hrs, 39 mins",Other,Audit / IG / access investigation
CS1718212,South Tees Hospitals NHS Foundation Trust,3 - Medium,15/01/2026 14:34:24,Closed,Access to patient record,"Hello
The Trust has received a subject access request from D352074, for details of anyone that has accessed any information for of the patient or attendances. The date range is 01/01/2021 to date.
Please could this information be provided.
Thanks
Paul",20/01/2026 16:37:21,Acute Care Symphony Support Level 1,Gareth Evans,Symphony,16/01/2026 13:18:37,14,,CS1718212,8736.0,11097.0,"2 hrs, 25 mins","3 hrs, 4 mins",Other,Audit / IG / access investigation
CS1718901,North West Anglia NHS Foundation Trust,3 - Medium,16/01/2026 13:20:07,Closed,111 scheduling failure,"Hiya
the ICS/111 folks have messaged ED to say they cannot book anyone in 
when attempting they get a no slot/invalid

their system error:
""CareConnectBookingService: Error calling https://connect.advhc.net/live/anyconnect/Slots/CareConnect - Error: Operation was unsuccessful because of a client error (UnsupportedMediaType). OperationOutcome: Overall result: FAILURE (2 errors and 0 warnings)
[ERROR] (no details)(further diagnostics: ERROR_COMMUNICATING_TO_ENDPOINT_URL_https://NHS111-RGN.NWANGLIAFT.NHS.UK/Slot)
[ERROR] (no details)(further diagnostics: Unsupported_Media_Type)""

our interface servers were actually offline for most of the morning - DAD is running since.. (think it was lunch time things were confidently working)
I'm hoping that theres possibly a timeout or something 'simple' that makes slots available/connection with the adastra people.

can you have a look and see if theres something obvious? if there is a failure to connect out then any info i can pass on to our IT bods would be grand.
thanks muchly",30/01/2026 17:08:15,Acute Care Symphony Support Level 1,Shazad Ishaque,Symphony,30/01/2026 14:39:48,27,,CS1718901,14564.0,240571.0,"4 hrs, 2 mins","2 days, 18 hrs, 49 mins",Other,DAD / HL7 / interface messaging
CS1719236,Leeds Teaching Hospitals NHS Trust,3 - Medium,19/01/2026 08:55:36,Closed,IG Audit,"Patient: J B

412 482 5986 

Dates to audit: 25/10/2025 - 10/12/2025 

Please could I ask for a list of staff who have accessed these records during the dates to range.",05/02/2026 13:21:27,Acute Care Symphony Support Level 1,Gareth Evans,Symphony,22/01/2026 13:20:14,12,,CS1719236,7865.0,7865.0,"2 hrs, 11 mins","2 hrs, 11 mins",Other,Audit / IG / access investigation
CS1719242,Leeds Teaching Hospitals NHS Trust,3 - Medium,19/01/2026 08:58:46,Closed,IG audit request,"Patient: D C

 486 195 8083

Dates to audit: 06/10/2025 - 20/12/2025

Please could I ask for a list of staff who have accessed these records during the dates range above",05/02/2026 13:21:28,Acute Care Symphony Support Level 1,Gareth Evans,Symphony,22/01/2026 13:21:05,20,,CS1719242,27336.0,27336.0,"7 hrs, 35 mins","7 hrs, 35 mins",Other,Audit / IG / access investigation
CS1721015,Betsi Cadwaladr University Healthboard,3 - Medium,21/01/2026 10:14:34,Closed,Reportingserver services log files,this morning one of our server team has found our replicated server  7A1A4SRVEDREP1 D: Binaries to be full- log file sitting at 33GB... and 1.66Gb left   what can be deleted from this drive to free up space please?,14/04/2026 13:57:30,Acute Care Symphony Support Level 2,Carlos Berrios,Symphony,31/03/2026 13:56:32,56,,CS1721015,1296912.0,5210112.0,"15 days, 15 mins","60 days, 7 hrs, 15 mins",Reporting & Analytics / Reporting,
CS1721145,Leeds Teaching Hospitals NHS Trust,3 - Medium,21/01/2026 11:19:20,Closed,Discharge letter message split into 2 messages,"Discharge letter message has been spit into 2 messages. example 5603168. Attached is the RIE message received. Can this be looked into please as we have had no changes to the TIE and the RIE at Leeds.

Product Category - 	Bundle - Symphony/DAD/Message Contents/Other PAS",11/02/2026 16:59:31,Acute Care Symphony Support Level 1,Konrad Siddons,Symphony,28/01/2026 16:58:27,14,,CS1721145,58854.0,102054.0,"16 hrs, 20 mins","1 days, 4 hrs, 20 mins",Other,DAD / HL7 / interface messaging
